fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.36,0.29,2.6,0.087,Unknown,72,Medium,Normal,0.68,11,Decent
7.1,0.35,0.29,2.5,0.096,High,53,Medium,Normal,0.65,11,Fine
9.6,0.56,0.23,3.4,0.102,Unknown,92,Very High,Normal,0.65,10.1,Decent
9.6,0.77,0.12,2.9,0.082,Unknown,74,Very High,Normal,0.64,10.4,Fine
9.8,0.66,0.39,3.2,0.083,High,59,Very High,Normal,0.71,11.5,Good
9.6,0.77,0.12,2.9,0.082,Unknown,74,Very High,Normal,0.64,10.4,Fine
9.8,0.66,0.39,3.2,0.083,High,59,Very High,Normal,0.71,11.5,Good
9.3,0.61,0.26,3.4,0.09,Unknown,87,Very High,Normal,0.62,9.7,Decent
7.8,0.62,0.05,2.3,0.079,Low,18,High,Normal,0.63,9.3,Decent
10.3,0.59,0.42,2.8,0.09,Unknown,73,Very High,Normal,0.7,9.5,Fine
10,0.49,0.2,11,0.071,Medium,50,Very High,Normal,0.69,9.2,Fine
10,0.49,0.2,11,0.071,Medium,50,Very High,Normal,0.69,9.2,Fine
11.6,0.53,0.66,3.65,0.121,Low,14,High,Very Accidic,0.74,11.5,Good
10.3,0.44,0.5,4.5,0.107,Low,13,Very High,Normal,0.83,11.5,Decent
13.4,0.27,0.62,2.6,0.082,Low,21,Very High,Normal,0.67,9.7,Fine
10.7,0.46,0.39,2,0.061,Low,15,Very High,Normal,0.62,9.5,Decent
10.2,0.36,0.64,2.9,0.122,Medium,41,Very High,Normal,0.66,12.5,Fine
10.2,0.36,0.64,2.9,0.122,Medium,41,Very High,Normal,0.66,12.5,Fine
8,0.58,0.28,3.2,0.066,High,114,High,Normal,0.54,9.4,Fine
8.4,0.56,0.08,2.1,0.105,High,44,Medium,Normal,0.52,11,Decent
7.9,0.65,0.01,2.5,0.078,High,38,Medium,Normal,0.74,11.7,Good
11.9,0.695,0.53,3.4,0.128,Low,21,Very High,Normal,0.84,12.2,Good
8.9,0.43,0.45,1.9,0.052,Low,16,Low,Normal,0.7,12.5,Fine
7.8,0.43,0.32,2.8,0.08,Unknown,58,High,Normal,0.64,10.3,Decent
12.4,0.49,0.58,3,0.103,Unknown,99,Very High,Normal,1,11.5,Fine
12.5,0.28,0.54,2.3,0.082,Medium,29,Very High,Very Accidic,1.36,9.8,Good
12.2,0.34,0.5,2.4,0.066,Medium,21,Very High,Very Accidic,1.18,9.2,Fine
10.6,0.42,0.48,2.7,0.065,Low,18,High,Normal,0.87,11.3,Fine
10.9,0.39,0.47,1.8,0.118,Low,14,Very High,Normal,0.75,9.8,Fine
10.9,0.39,0.47,1.8,0.118,Low,14,Very High,Normal,0.75,9.8,Fine
11.9,0.57,0.5,2.6,0.082,Low,32,Very High,Very Accidic,0.78,10.7,Fine
7,0.685,0,1.9,0.067,Unknown,63,Very High,Very Basic,0.81,9.9,Decent
6.6,0.815,0.02,2.7,0.072,High,34,Low,Very Basic,0.89,12.3,Good
13.8,0.49,0.67,3,0.093,Low,15,Very High,Very Accidic,0.93,12,Fine
9.6,0.56,0.31,2.8,0.089,High,46,Very High,Very Accidic,0.92,10,Fine
9.1,0.785,0,2.6,0.093,Medium,28,Very High,Normal,0.86,9.4,Fine
10.7,0.67,0.22,2.7,0.107,High,34,Very High,Normal,0.98,9.9,Fine
9.1,0.795,0,2.6,0.096,Medium,26,Very High,Normal,0.83,9.4,Fine
7.7,0.665,0,2.4,0.09,Medium,19,High,Normal,0.73,9.3,Decent
13.5,0.53,0.79,4.8,0.12,Unknown,77,Very High,Normal,0.77,13,Decent
6.1,0.21,0.4,1.4,0.066,Unknown,165,Low,Normal,0.59,11.9,Fine
6.7,0.75,0.01,2.4,0.078,High,32,Low,Very Basic,0.61,12.8,Fine
11.5,0.41,0.52,3,0.08,Unknown,55,Very High,Normal,0.88,11,Decent
10.5,0.42,0.66,2.95,0.116,Medium,29,High,Normal,0.75,11.7,Good
11.9,0.43,0.66,3.1,0.109,Medium,23,Very High,Normal,0.85,10.4,Good
12.6,0.38,0.66,2.6,0.088,Medium,41,Very High,Normal,0.68,9.8,Fine
8.2,0.7,0.23,2,0.099,Medium,81,High,Normal,0.7,9.4,Decent
8.6,0.45,0.31,2.6,0.086,High,50,Very High,Normal,0.91,9.9,Fine
11.9,0.58,0.66,2.5,0.072,Low,37,Very High,Very Accidic,0.56,10,Decent
12.5,0.46,0.63,2,0.071,Low,15,Very High,Very Accidic,0.87,10.2,Decent
12.8,0.615,0.66,5.8,0.083,Low,42,Very High,Very Accidic,0.73,10,Good
10,0.42,0.5,3.4,0.107,Low,21,Very High,Normal,0.93,11.8,Fine
12.8,0.615,0.66,5.8,0.083,Low,42,Very High,Very Accidic,0.73,10,Good
10.4,0.575,0.61,2.6,0.076,Medium,24,Very High,Normal,0.69,9,Decent
10.3,0.34,0.52,2.8,0.159,High,75,Very High,Normal,0.64,9.4,Decent
9.4,0.27,0.53,2.4,0.074,Low,18,Medium,Normal,1.13,12,Good
6.9,0.765,0.02,2.3,0.063,Unknown,63,High,Very Basic,0.78,9.9,Decent
7.9,0.24,0.4,1.6,0.056,Medium,25,Medium,Normal,0.87,8.7,Fine
9.1,0.28,0.48,1.8,0.067,Unknown,46,Medium,Normal,1.04,10.6,Fine
7.4,0.55,0.22,2.2,0.106,Medium,72,Medium,Very Accidic,0.63,9.2,Decent
14,0.41,0.63,3.8,0.089,Low,47,Very High,Very Accidic,0.81,10.8,Fine
11.5,0.54,0.71,4.4,0.124,Low,15,Very High,Very Accidic,0.83,11.8,Good
11.5,0.45,0.5,3,0.078,High,47,Very High,Normal,1.11,11,Fine
9.4,0.27,0.53,2.4,0.074,Low,18,Medium,Normal,1.13,12,Good
11.4,0.625,0.66,6.2,0.088,Low,24,Very High,Very Accidic,0.99,13.3,Fine
8.3,0.42,0.38,2.5,0.094,Unknown,60,Very High,Normal,0.7,10.8,Fine
8.3,0.26,0.42,2,0.08,Medium,27,High,Normal,0.8,9.4,Fine
13.7,0.415,0.68,2.9,0.085,High,43,Very High,Very Accidic,0.8,10,Fine
8.3,0.26,0.42,2,0.08,Medium,27,High,Normal,0.8,9.4,Fine
8.3,0.26,0.42,2,0.08,Medium,27,High,Normal,0.8,9.4,Fine
7.7,0.51,0.28,2.1,0.087,Unknown,54,Very High,Normal,0.74,9.2,Decent
7.4,0.63,0.07,2.4,0.09,Medium,37,Very High,Normal,0.76,9.7,Fine
7.8,0.54,0.26,2,0.088,Unknown,48,Very High,Normal,0.74,9.2,Fine
8.3,0.66,0.15,1.9,0.079,High,42,High,Normal,0.54,9.6,Fine
7.8,0.46,0.26,1.9,0.088,Unknown,53,Very High,Normal,0.74,9.2,Fine
9.6,0.38,0.31,2.5,0.096,High,49,Very High,Normal,0.7,10,Good
5.6,0.85,0.05,1.4,0.045,Medium,88,Low,Very Basic,0.82,12.9,Great
13.7,0.415,0.68,2.9,0.085,High,43,Very High,Very Accidic,0.8,10,Fine
9.5,0.37,0.52,2,0.082,Low,26,Very High,Normal,0.51,9.5,Decent
8.4,0.665,0.61,2,0.112,Medium,95,High,Normal,0.54,9.1,Decent
12.7,0.6,0.65,2.3,0.063,Low,25,Very High,Very Accidic,0.57,9.9,Decent
12,0.37,0.76,4.2,0.066,Low,38,Very High,Normal,0.6,13,Good
6.6,0.735,0.02,7.9,0.122,Unknown,124,Very High,Normal,0.53,9.9,Decent
11.5,0.59,0.59,2.6,0.087,Medium,49,Very High,Normal,0.65,11,Fine
11.5,0.59,0.59,2.6,0.087,Medium,49,Very High,Normal,0.65,11,Fine
8.7,0.765,0.22,2.3,0.064,Medium,42,Medium,Very Accidic,0.55,9.4,Decent
6.6,0.735,0.02,7.9,0.122,Unknown,124,Very High,Normal,0.53,9.9,Decent
7.7,0.26,0.3,1.7,0.059,High,38,Low,Normal,0.47,10.8,Fine
12.2,0.48,0.54,2.6,0.085,High,64,Very High,Very Accidic,0.61,10.5,Fine
11.4,0.6,0.49,2.7,0.085,Medium,41,Very High,Normal,0.63,10.5,Fine
7.7,0.69,0.05,2.7,0.075,High,27,High,Normal,0.61,9.1,Decent
8.7,0.31,0.46,1.4,0.059,Medium,25,Medium,Normal,0.76,10.1,Fine
9.8,0.44,0.47,2.5,0.063,Medium,28,Very High,Normal,0.65,10.8,Fine
12,0.39,0.66,3,0.093,Medium,30,Very High,Normal,0.63,10.8,Good
10.4,0.34,0.58,3.7,0.174,Low,16,High,Normal,0.7,11.3,Fine
12.5,0.46,0.49,4.5,0.07,Unknown,49,Very High,Very Accidic,0.57,9.6,Fair
9,0.43,0.34,2.5,0.08,Unknown,86,Very High,Normal,0.62,9.5,Fine
9.1,0.45,0.35,2.4,0.08,Unknown,78,Very High,Normal,0.62,9.5,Decent
7.1,0.735,0.16,1.9,0.1,High,77,Medium,Normal,0.64,9.3,Decent
9.9,0.4,0.53,6.7,0.097,Low,19,Very High,Normal,0.82,11.7,Good
8.8,0.52,0.34,2.7,0.087,Unknown,122,Very High,Normal,0.61,9.5,Decent
8.6,0.725,0.24,6.6,0.117,Unknown,134,Very High,Normal,1.07,9.3,Decent
10.6,0.48,0.64,2.2,0.111,Low,20,High,Normal,0.66,11.7,Fine
7,0.58,0.12,1.9,0.091,Unknown,124,Low,Normal,0.48,10.5,Decent
11.9,0.38,0.51,2,0.121,Low,20,Very High,Normal,0.76,10.4,Fine
6.8,0.77,0,1.8,0.066,Unknown,52,High,Very Basic,0.68,9.9,Decent
9.5,0.56,0.33,2.4,0.089,Unknown,67,High,Normal,0.73,11.8,Good
6.6,0.84,0.03,2.3,0.059,Unknown,48,Low,Very Basic,0.56,12.3,Good
7.7,0.96,0.2,2,0.047,High,60,Low,Normal,0.44,10.9,Decent
10.5,0.24,0.47,2.1,0.066,Low,24,High,Normal,0.9,11,Good
7.7,0.96,0.2,2,0.047,High,60,Low,Normal,0.44,10.9,Decent
6.6,0.84,0.03,2.3,0.059,Unknown,48,Low,Very Basic,0.56,12.3,Good
6.4,0.67,0.08,2.1,0.045,High,48,Low,Normal,0.49,11.4,Fine
9.5,0.78,0.22,1.9,0.077,Low,32,Very High,Normal,0.56,10.6,Fine
9.1,0.52,0.33,1.3,0.07,Medium,30,High,Normal,0.6,9.3,Decent
12.8,0.84,0.63,2.4,0.088,Medium,35,Very High,Very Accidic,0.6,10.4,Fine
10.5,0.24,0.47,2.1,0.066,Low,24,High,Normal,0.9,11,Good
7.8,0.55,0.35,2.2,0.074,High,66,High,Normal,0.56,9.2,Decent
11.9,0.37,0.69,2.3,0.078,Medium,24,Medium,Very Accidic,0.65,12.8,Fine
12.3,0.39,0.63,2.3,0.091,Low,18,Very High,Normal,0.49,9.5,Decent
10.4,0.41,0.55,3.2,0.076,Unknown,54,Very High,Normal,0.89,9.9,Fine
12.3,0.39,0.63,2.3,0.091,Low,18,Very High,Normal,0.49,9.5,Decent
8,0.67,0.3,2,0.06,Unknown,62,Medium,Normal,0.56,10.2,Fine
11.1,0.45,0.73,3.2,0.066,Low,22,Very High,Normal,0.66,11.2,Fine
10.4,0.41,0.55,3.2,0.076,Unknown,54,Very High,Normal,0.89,9.9,Fine
7,0.62,0.18,1.5,0.062,Low,50,Low,Very Accidic,0.6,9.3,Decent
12.6,0.31,0.72,2.2,0.072,Low,29,Very High,Very Accidic,0.82,9.8,Great
11.9,0.4,0.65,2.15,0.068,Low,27,Very High,Very Accidic,0.68,11.3,Fine
15.6,0.685,0.76,3.7,0.1,Low,43,Very High,Very Accidic,0.68,11.2,Good
10,0.44,0.49,2.7,0.077,Medium,19,Medium,Normal,0.63,11.6,Good
5.3,0.57,0.01,1.7,0.054,Low,27,Low,Very Basic,0.84,12.5,Good
9.5,0.735,0.1,2.1,0.079,Low,31,Very High,Normal,0.56,10.1,Fine
12.5,0.38,0.6,2.6,0.081,Unknown,72,Very High,Very Accidic,0.73,10.5,Decent
9.3,0.48,0.29,2.1,0.127,Low,16,High,Normal,0.72,11.2,Decent
8.6,0.53,0.22,2,0.1,Low,27,Medium,Normal,0.56,10.2,Fine
11.9,0.39,0.69,2.8,0.095,High,35,Very High,Very Accidic,0.61,10.8,Fine
11.9,0.39,0.69,2.8,0.095,High,35,Very High,Very Accidic,0.61,10.8,Fine
8.4,0.37,0.53,1.8,0.413,Medium,26,Very High,Very Accidic,1.06,9.1,Fine
6.8,0.56,0.03,1.7,0.084,High,35,High,Normal,0.63,10,Fine
10.4,0.33,0.63,2.8,0.084,Low,22,Very High,Normal,0.74,11.2,Good
7,0.23,0.4,1.6,0.063,High,67,Low,Very Basic,0.63,11.1,Decent
11.3,0.62,0.67,5.2,0.086,Low,19,Very High,Normal,0.69,13.4,Great
8.9,0.59,0.39,2.3,0.095,Low,22,Very High,Normal,0.58,10.3,Decent
9.2,0.63,0.21,2.7,0.097,Unknown,65,Very High,Normal,0.58,9.6,Decent
10.4,0.33,0.63,2.8,0.084,Low,22,Very High,Normal,0.74,11.2,Good
11.6,0.58,0.66,2.2,0.074,Medium,47,Very High,Normal,0.57,9,Fair
9.2,0.43,0.52,2.3,0.083,Medium,23,High,Normal,0.61,11.3,Fine
8.3,0.615,0.22,2.6,0.087,Low,19,Very High,Normal,0.61,9.3,Decent
11,0.26,0.68,2.55,0.085,Medium,25,High,Normal,0.61,11.8,Decent
8.1,0.66,0.7,2.2,0.098,Unknown,129,High,Very Accidic,0.53,9,Decent
11.5,0.315,0.54,2.1,0.084,Low,15,Very High,Very Accidic,0.7,9.2,Fine
10,0.29,0.4,2.9,0.098,Medium,26,Very High,Normal,0.91,9.7,Decent
10.3,0.5,0.42,2,0.069,High,51,Very High,Normal,0.72,11.5,Fine
8.8,0.46,0.45,2.6,0.065,Low,18,Low,Normal,0.79,14,Fine
11.4,0.36,0.69,2.1,0.09,Low,21,Very High,Normal,0.62,9.2,Fine
8.7,0.82,0.02,1.2,0.07,Unknown,48,Low,Normal,0.58,9.8,Decent
13,0.32,0.65,2.6,0.093,High,47,Very High,Very Accidic,0.61,10.6,Decent
9.6,0.54,0.42,2.4,0.081,Unknown,52,High,Normal,0.71,11.4,Fine
12.5,0.37,0.55,2.6,0.083,Unknown,68,Very High,Normal,0.82,10.4,Fine
9.9,0.35,0.55,2.1,0.062,Low,14,High,Normal,0.79,10.6,Decent
10.5,0.28,0.51,1.7,0.08,Medium,24,Very High,Normal,0.89,9.4,Fine
9.6,0.68,0.24,2.2,0.087,Low,28,Very High,Normal,0.6,10.2,Decent
9.3,0.27,0.41,2,0.091,Low,16,Very High,Normal,0.7,9.7,Decent
10.4,0.24,0.49,1.8,0.075,Low,20,High,Normal,1.06,11,Fine
9.6,0.68,0.24,2.2,0.087,Low,28,Very High,Normal,0.6,10.2,Decent
9.4,0.685,0.11,2.7,0.077,Low,31,Very High,Normal,0.7,10.1,Fine
10.6,0.28,0.39,15.5,0.069,Low,23,Very High,Very Accidic,0.66,9.2,Decent
9.4,0.3,0.56,2.8,0.08,Low,17,Medium,Normal,0.92,11.7,Great
10.6,0.36,0.59,2.2,0.152,Low,18,Very High,Very Accidic,1.05,9.4,Decent
10.6,0.36,0.6,2.2,0.152,Low,18,Very High,Very Accidic,1.06,9.4,Decent
10.6,0.44,0.68,4.1,0.114,Low,24,High,Very Accidic,0.66,13.4,Fine
10.2,0.67,0.39,1.9,0.054,Low,17,High,Normal,0.47,10,Decent
10.2,0.67,0.39,1.9,0.054,Low,17,High,Normal,0.47,10,Decent
10.2,0.645,0.36,1.8,0.053,Low,14,Very High,Normal,0.42,10,Fine
11.6,0.32,0.55,2.8,0.081,Unknown,67,Very High,Normal,0.92,10.8,Good
9.3,0.39,0.4,2.6,0.073,Medium,26,Very High,Normal,0.75,10.2,Fine
9.3,0.775,0.27,2.8,0.078,Unknown,56,Very High,Normal,0.67,10.6,Fine
9.2,0.41,0.5,2.5,0.055,Medium,25,Low,Normal,0.79,13.3,Good
8.9,0.4,0.51,2.6,0.052,Medium,27,Low,Normal,0.9,13.4,Good
8.7,0.69,0.31,3,0.086,Unknown,81,Very High,Normal,0.74,11.6,Fine
6.5,0.39,0.23,8.3,0.051,Unknown,91,Low,Normal,0.55,12.1,Fine
10.7,0.35,0.53,2.6,0.07,Low,16,High,Normal,0.65,11,Great
7.8,0.52,0.25,1.9,0.081,Medium,38,Very High,Normal,0.65,9,Fine
7.2,0.34,0.32,2.5,0.09,Unknown,113,Medium,Normal,0.79,11.1,Decent
10.7,0.35,0.53,2.6,0.07,Low,16,High,Normal,0.65,11,Great
8.7,0.69,0.31,3,0.086,Unknown,81,Very High,Normal,0.74,11.6,Fine
7.8,0.52,0.25,1.9,0.081,Medium,38,Very High,Normal,0.65,9,Fine
10.4,0.44,0.73,6.55,0.074,Unknown,76,Very High,Normal,0.85,12,Good
10.4,0.44,0.73,6.55,0.074,Unknown,76,Very High,Normal,0.85,12,Good
10.5,0.26,0.47,1.9,0.078,Low,24,High,Normal,1.04,10.9,Good
10.5,0.24,0.42,1.8,0.077,Low,22,High,Normal,1.05,10.8,Good
10.2,0.49,0.63,2.9,0.072,Medium,26,High,Normal,0.78,12.5,Good
10.4,0.24,0.46,1.8,0.075,Low,21,High,Normal,1.02,10.8,Good
11.2,0.67,0.55,2.3,0.084,Low,13,Very High,Normal,0.71,9.5,Fine
10,0.59,0.31,2.2,0.09,Unknown,62,Very High,Normal,0.63,10.2,Fine
13.3,0.29,0.75,2.8,0.084,Unknown,43,Very High,Very Accidic,0.68,11.4,Good
12.4,0.42,0.49,4.6,0.073,High,43,High,Very Accidic,0.61,9.5,Decent
10,0.59,0.31,2.2,0.09,Unknown,62,Very High,Normal,0.63,10.2,Fine
10.7,0.4,0.48,2.1,0.125,High,49,Very High,Very Accidic,0.81,9.7,Fine
10.5,0.51,0.64,2.4,0.107,Low,15,High,Very Accidic,0.66,11.8,Good
10.5,0.51,0.64,2.4,0.107,Low,15,High,Very Accidic,0.66,11.8,Good
8.5,0.655,0.49,6.1,0.122,Unknown,151,Very High,Normal,1.14,9.3,Decent
12.5,0.6,0.49,4.3,0.1,Low,14,Very High,Normal,0.74,11.9,Fine
10.4,0.61,0.49,2.1,0.2,Low,16,Very High,Normal,0.63,8.4,Fair
10.9,0.21,0.49,2.8,0.088,Medium,32,High,Normal,0.68,11.7,Fine
7.3,0.365,0.49,2.5,0.088,Unknown,106,Medium,Normal,0.78,11,Decent
9.8,0.25,0.49,2.7,0.088,High,33,Very High,Normal,0.9,10,Fine
7.6,0.41,0.49,2,0.088,High,43,Very High,Normal,0.64,9.1,Decent
8.2,0.39,0.49,2.3,0.099,Unknown,133,Very High,Normal,0.99,9.8,Decent
9.3,0.4,0.49,2.5,0.085,Unknown,142,High,Normal,0.55,9.4,Decent
9.2,0.43,0.49,2.4,0.086,Unknown,116,High,Normal,0.64,9.5,Decent
10.4,0.64,0.24,2.8,0.105,Unknown,53,Very High,Normal,0.67,9.9,Decent
7.3,0.365,0.49,2.5,0.088,Unknown,106,Medium,Normal,0.78,11,Decent
7,0.38,0.49,2.5,0.097,Unknown,85,Medium,Normal,0.77,11.4,Fine
8.2,0.42,0.49,2.6,0.084,Unknown,55,Very High,Normal,0.75,8.7,Fine
9.9,0.63,0.24,2.4,0.077,Low,33,High,Very Accidic,0.57,9.4,Decent
9.1,0.22,0.24,2.1,0.078,Low,28,Very High,Normal,0.87,10.3,Fine
11.9,0.38,0.49,2.7,0.098,Medium,42,Very High,Normal,0.61,10.3,Decent
11.9,0.38,0.49,2.7,0.098,Medium,42,Very High,Normal,0.61,10.3,Decent
10.3,0.27,0.24,2.1,0.072,High,33,Low,Normal,0.66,12.8,Fine
10,0.48,0.24,2.7,0.102,Medium,32,Very High,Normal,0.56,10,Fine
9.1,0.22,0.24,2.1,0.078,Low,28,Very High,Normal,0.87,10.3,Fine
9.9,0.63,0.24,2.4,0.077,Low,33,High,Very Accidic,0.57,9.4,Decent
8.1,0.825,0.24,2.1,0.084,Low,13,High,Normal,0.77,10.7,Fine
12.9,0.35,0.49,5.8,0.066,Low,35,Very High,Normal,0.66,12,Good
11.2,0.5,0.74,5.15,0.1,Low,17,Very High,Normal,0.62,11.2,Decent
9.2,0.59,0.24,3.3,0.101,High,47,Very High,Normal,0.67,9.6,Decent
9.5,0.46,0.49,6.3,0.064,Low,17,Very High,Normal,0.73,11,Fine
9.3,0.715,0.24,2.1,0.07,Low,20,Medium,Very Accidic,0.59,9.9,Decent
11.2,0.66,0.24,2.5,0.085,High,53,Very High,Very Accidic,0.72,11,Fine
14.3,0.31,0.74,1.8,0.075,Low,15,Very High,Very Accidic,0.79,8.4,Fine
9.1,0.47,0.49,2.6,0.094,Unknown,106,Very High,Very Accidic,0.59,9.1,Decent
7.5,0.55,0.24,2,0.078,Medium,28,Very High,Normal,0.78,9.5,Fine
10.6,0.31,0.49,2.5,0.067,Low,21,Very High,Normal,0.86,10.7,Fine
12.4,0.35,0.49,2.6,0.079,Unknown,69,Very High,Very Accidic,0.75,10.4,Fine
9,0.53,0.49,1.9,0.171,Low,25,High,Normal,0.61,9.4,Fine
6.8,0.51,0.01,2.1,0.074,Medium,25,Medium,Normal,0.56,9.5,Fine
9.4,0.43,0.24,2.8,0.092,Medium,45,Very High,Normal,0.73,10,Fine
9.5,0.46,0.24,2.7,0.092,Medium,44,Very High,Very Accidic,0.74,10,Fine
5,1.04,0.24,1.6,0.05,Unknown,96,Low,Unknown,0.62,11.5,Decent
15.5,0.645,0.49,4.2,0.095,Medium,23,Very High,Very Accidic,0.74,11.1,Decent
15.5,0.645,0.49,4.2,0.095,Medium,23,Very High,Very Accidic,0.74,11.1,Decent
10.9,0.53,0.49,4.6,0.118,Medium,17,Very High,Very Accidic,0.56,11.7,Fine
15.6,0.645,0.49,4.2,0.095,Medium,23,Very High,Very Accidic,0.74,11.1,Decent
10.9,0.53,0.49,4.6,0.118,Medium,17,Very High,Very Accidic,0.56,11.7,Fine
13,0.47,0.49,4.3,0.085,Low,47,Very High,Normal,0.68,12.7,Fine
12.7,0.6,0.49,2.8,0.075,Low,19,Very High,Normal,0.57,11.4,Decent
9,0.44,0.49,2.4,0.078,Unknown,121,High,Normal,0.58,9.2,Decent
9,0.54,0.49,2.9,0.094,Unknown,110,Very High,Very Accidic,0.61,9.2,Decent
7.6,0.29,0.49,2.7,0.092,Unknown,60,High,Normal,0.61,10.1,Fine
13,0.47,0.49,4.3,0.085,Low,47,Very High,Normal,0.68,12.7,Fine
12.7,0.6,0.49,2.8,0.075,Low,19,Very High,Normal,0.57,11.4,Decent
8.7,0.7,0.24,2.5,0.226,Low,15,Very High,Normal,0.6,9,Fine
8.7,0.7,0.24,2.5,0.226,Low,15,Very High,Normal,0.6,9,Fine
9.8,0.5,0.49,2.6,0.25,Low,20,Very High,Normal,0.79,10.7,Fine
6.2,0.36,0.24,2.2,0.095,High,42,Low,Very Basic,0.57,11.7,Fine
11.5,0.35,0.49,3.3,0.07,Medium,37,Very High,Normal,0.91,11,Fine
6.2,0.36,0.24,2.2,0.095,High,42,Low,Very Basic,0.57,11.7,Fine
10.2,0.24,0.49,2.4,0.075,Medium,28,High,Normal,0.61,10.4,Decent
10.5,0.59,0.49,2.1,0.07,Medium,47,Very High,Normal,0.56,9.6,Fair
10.6,0.34,0.49,3.2,0.078,High,78,Very High,Normal,0.7,10,Fine
12.3,0.27,0.49,3.1,0.079,Unknown,46,Very High,Normal,0.8,10.2,Fine
9.9,0.5,0.24,2.3,0.103,Low,14,High,Normal,0.52,10,Fair
8.8,0.44,0.49,2.8,0.083,High,111,Very High,Normal,0.6,9.5,Decent
8.8,0.47,0.49,2.9,0.085,High,110,Very High,Normal,0.6,9.8,Decent
10.6,0.31,0.49,2.2,0.063,High,40,High,Normal,0.51,9.8,Fine
12.3,0.5,0.49,2.2,0.089,Low,14,Very High,Normal,0.44,9.6,Decent
12.3,0.5,0.49,2.2,0.089,Low,14,Very High,Normal,0.44,9.6,Decent
11.7,0.49,0.49,2.2,0.083,Low,15,Very High,Normal,0.43,9.2,Decent
12,0.28,0.49,1.9,0.074,Medium,21,High,Very Accidic,0.66,9.9,Good
11.8,0.33,0.49,3.4,0.093,Unknown,80,Very High,Normal,0.76,10.7,Good
7.6,0.51,0.24,2.4,0.091,Medium,38,Very High,Normal,0.66,9.6,Fine
11.1,0.31,0.49,2.7,0.094,High,47,Very High,Very Accidic,1.02,10.6,Good
7.3,0.73,0.24,1.9,0.108,High,102,Medium,Normal,0.59,9.3,Decent
5,0.42,0.24,2,0.06,High,50,Low,Unknown,0.74,14,Great
10.2,0.29,0.49,2.6,0.059,Low,13,High,Very Accidic,0.74,10.5,Good
9,0.45,0.49,2.6,0.084,High,75,Very High,Normal,0.57,9.7,Decent
6.6,0.39,0.49,1.7,0.07,Unknown,149,Low,Very Accidic,0.5,11.5,Fine
9,0.45,0.49,2.6,0.084,High,75,Very High,Normal,0.57,9.7,Decent
9.9,0.49,0.58,3.5,0.094,Medium,43,Very High,Normal,0.58,9,Decent
7.9,0.72,0.17,2.6,0.096,High,38,High,Normal,0.53,9.5,Decent
8.9,0.595,0.41,7.9,0.086,Unknown,109,Very High,Normal,0.57,9.3,Decent
12.4,0.4,0.51,2,0.059,Low,24,Very High,Very Accidic,0.6,9.3,Fine
11.9,0.58,0.58,1.9,0.071,Low,18,Very High,Very Accidic,0.63,10,Fine
8.5,0.585,0.18,2.1,0.078,Low,30,Medium,Normal,0.48,9.8,Fine
12.7,0.59,0.45,2.3,0.082,Medium,22,Very High,Very Accidic,0.7,9.3,Fine
8.2,0.915,0.27,2.1,0.088,Low,23,Medium,Normal,0.47,10,Fair
13.2,0.46,0.52,2.2,0.071,Medium,35,Very High,Very Accidic,0.56,9,Fine
7.7,0.835,0,2.6,0.081,Low,14,High,Normal,0.52,9.3,Decent
13.2,0.46,0.52,2.2,0.071,Medium,35,Very High,Very Accidic,0.56,9,Fine
8.3,0.58,0.13,2.9,0.096,Medium,63,Very High,Normal,0.62,9.1,Fine
8.3,0.6,0.13,2.6,0.085,Low,24,Very High,Normal,0.59,9.2,Fine
9.4,0.41,0.48,4.6,0.072,Medium,20,High,Normal,0.79,12.2,Good
8.8,0.48,0.41,3.3,0.092,Unknown,52,Very High,Normal,0.53,10.5,Fine
10.1,0.65,0.37,5.1,0.11,Medium,65,Very High,Normal,0.64,10.4,Fine
6.3,0.36,0.19,3.2,0.075,High,39,Low,Very Basic,0.52,12.7,Fine
8.8,0.24,0.54,2.5,0.083,Unknown,57,Very High,Normal,0.54,9.2,Decent
13.2,0.38,0.55,2.7,0.081,Low,16,Very High,Very Accidic,0.54,9.4,Decent
7.5,0.64,0,2.4,0.077,High,29,Medium,Normal,0.6,10,Fine
8.2,0.39,0.38,1.5,0.058,Medium,29,Medium,Normal,0.74,9.8,Decent
9.2,0.755,0.18,2.2,0.148,Medium,103,High,Very Accidic,1.36,10.2,Fine
9.6,0.6,0.5,2.3,0.079,Unknown,71,Very High,Very Basic,0.57,9.7,Decent
9.6,0.6,0.5,2.3,0.079,Unknown,71,Very High,Very Basic,0.57,9.7,Decent
11.5,0.31,0.51,2.2,0.079,Medium,28,Very High,Very Accidic,0.93,9.8,Fine
11.4,0.46,0.5,2.7,0.122,Low,17,Very High,Normal,0.7,10.2,Decent
11.3,0.37,0.41,2.3,0.088,Low,16,Very High,Very Accidic,0.8,9.3,Decent
8.3,0.54,0.24,3.4,0.076,High,112,High,Normal,0.61,9.4,Decent
8.2,0.56,0.23,3.4,0.078,Medium,104,High,Normal,0.62,9.4,Decent
10,0.58,0.22,1.9,0.08,Medium,32,High,Normal,0.55,9.5,Decent
7.9,0.51,0.25,2.9,0.077,High,45,High,Normal,0.96,12.1,Fine
